subject activity Mean-X Mean-Y Mean-Z Std-X Std-Y Std-Z
1 WALKING 0.279128638842105 -0.0163302322431579 -0.112078657536842 -0.2779989048 0.111092877076842 -0.262567425052632
2 WALKING 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254
3 WALKING 0.274789174655172 -0.0162519039065517 -0.111564801206897 -0.351246017068966 -0.0705620204689655 -0.387718331206897
4 WALKING 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333
5 WALKING 0.279795557678571 -0.0139642752125536 -0.107416528267857 -0.275926938339286 0.0732997011089286 -0.44915407125
6 WALKING 0.282853845087719 -0.0169009035573684 -0.109810461140351 -0.271082129122807 0.163790481775263 -0.499732106157895
7 WALKING 0.278997099649123 -0.0182755588649123 -0.108899272807018 -0.310757592105263 -0.0728979634912281 0.149402924892982
8 WALKING 0.279896808125 -0.0194656877352083 -0.105048990229167 -0.162720185314583 0.375762143541667 -0.133849827270833
9 WALKING 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769
10 WALKING 0.278574076603774 -0.017022351190566 -0.109057512132075 -0.178709734396226 -0.0227431651698113 -0.395645072075472
11 WALKING 0.277342456779661 -0.0166954444962712 -0.107611536423729 -0.405386871457627 -0.0518799796881356 -0.524388679322034
12 WALKING 0.2771286656 -0.015560927606 -0.10316110632 -0.128898533096 -0.122783290008 -0.4106060626
13 WALKING 0.275883130350877 -0.0185660651947368 -0.111431456192982 -0.346980394210526 0.141866689392982 -0.220503537026316
14 WALKING 0.279287810338983 -0.0204086486728814 -0.105715542813559 -0.390494646254237 -0.0450497484447458 0.0611186953581356
15 WALKING 0.272744044259259 -0.0157467209072222 -0.106013912314815 -0.293623051481481 0.134911646413519 -0.509626590555556
16 WALKING 0.282311250980392 -0.0201131836903922 -0.109341975098039 -0.378762753215686 -0.308048942745098 -0.151517569843137
17 WALKING 0.272738200163934 -0.017698096565082 -0.109348146459016 -0.304399396803279 -0.02333545121 -0.265186830655738
18 WALKING 0.273887758571429 -0.0178023631866071 -0.104218315464286 -0.37600552125 -0.227005874892857 -0.428348061071429
19 WALKING 0.270815564038462 -0.0190201845153846 -0.121520587326923 -0.0191818202194231 0.193479573493269 -0.125082865042308
20 WALKING 0.272589336470588 -0.021199992245098 -0.113539477098039 -0.208342792019608 0.489771808627451 -0.228734217372549
21 WALKING 0.287428642307692 -0.0177088761796154 -0.101763267153846 -0.273714950076923 0.0644326595748077 -0.163052484019231
22 WALKING 0.283394110652174 -0.016924786404413 -0.104378467173913 0.011373220173913 0.100283703778261 -0.222394111086957
23 WALKING 0.276529526101695 -0.0164850130118644 -0.106990486898305 -0.297881467067797 -0.108300389747966 0.171060258849153
24 WALKING 0.276980816034483 -0.0225446400534483 -0.110595952913793 -0.47076236637931 -0.154127498163793 -0.288840016206897
25 WALKING 0.279382475135135 -0.0178470324175676 -0.107477858851351 -0.584268982027027 -0.161370340094595 -0.44066069
26 WALKING 0.279343386440678 -0.014938284159322 -0.106832141898305 -0.322168779949153 -0.1349428169 -0.33387212559322
27 WALKING 0.280327785789474 -0.0157012589555246 -0.1114506 -0.330519670824561 -0.183286010578947 -0.298419997017544
28 WALKING 0.28411101537037 -0.015836010637037 -0.103672223766667 -0.2799639995 -0.113143732074074 -0.306282991851852
29 WALKING 0.275521942641509 -0.0146971873041509 -0.105211202773585 -0.159108469471698 -0.0972478130039623 -0.247868431698113
30 WALKING 0.276122575846154 -0.0153509881038462 -0.0991597638307692 -0.339167320723077 -0.1691836608 -0.1270887
1 WALKING_UPSTAIRS 0.257821550943396 -0.0213184483209434 -0.0973944230188679 -0.355528555660377 -0.0158798544698113 -0.0405004777528302
2 WALKING_UPSTAIRS 0.247164790395833 -0.0214121132045833 -0.152513899520833 -0.304376406458333 0.108027279889583 -0.112121021220833
3 WALKING_UPSTAIRS 0.265184309355932 -0.0281733867844068 -0.105071056437288 -0.32975137559322 -0.010187529340678 -0.374916015762712
4 WALKING_UPSTAIRS 0.270876696730769 -0.0319804295729615 -0.114219455519231 -0.204933042903846 -0.0666899105180769 -0.372137777692308
5 WALKING_UPSTAIRS 0.276423408425532 -0.0256832126855319 -0.0997692073191489 -0.0847192106234043 0.135973733519149 -0.322031900276596
6 WALKING_UPSTAIRS 0.270475163529412 -0.0242933743933333 -0.12209916545098 -0.0848294654592157 0.148255880268627 -0.373910167837255
7 WALKING_UPSTAIRS 0.252605382490196 -0.0249187685803922 -0.135228059235294 -0.322277826803922 -0.339942007843137 -0.174033172403922
8 WALKING_UPSTAIRS 0.263301449121951 -0.0241200047073171 -0.112320173707317 -0.206989726829268 0.298398828536585 0.0791287729365854
9 WALKING_UPSTAIRS 0.262436475714286 -0.0195101099975714 -0.125219003959184 -0.36144437755102 -0.302206203816327 -0.253434083542857
10 WALKING_UPSTAIRS 0.267121853404255 -0.0143854920340426 -0.118180420834043 -0.161591924234043 -0.00555287692765957 -0.0738744931340426
11 WALKING_UPSTAIRS 0.266076594648148 -0.0254850594037037 -0.100793573888889 -0.266639250314815 -0.132061128294444 -0.225186435666667
12 WALKING_UPSTAIRS 0.272970338653846 -0.0263574903403846 -0.107339730115385 -0.290149192307692 -0.103818259823077 -0.436697425576923
13 WALKING_UPSTAIRS 0.258203939581818 -0.0277392253910909 -0.125767265890909 -0.296284597454545 0.104470773801818 -0.217210568085455
14 WALKING_UPSTAIRS 0.268808867907407 -0.0185485979653704 -0.113866484835185 -0.333559361111111 0.262719572259259 0.552307396111111
15 WALKING_UPSTAIRS 0.271022452083333 -0.0257144199666667 -0.1127241945625 -0.06790657956875 -0.04378632689375 -0.393595308729167
16 WALKING_UPSTAIRS 0.263533799431373 -0.0165719950894118 -0.119005032254902 -0.421512190392157 -0.193912799 -0.159021680407843
17 WALKING_UPSTAIRS 0.273869605416667 -0.01711034446 -0.107624165666667 -0.0640450260485417 -0.0295200795854167 -0.243025089029167
18 WALKING_UPSTAIRS 0.265401201896552 -0.0222060684378914 -0.112655891327586 -0.380168286724138 -0.211155120224138 -0.31437339137931
19 WALKING_UPSTAIRS 0.2598378761 -0.015473639485 -0.1347741723 -0.1314847827125 0.13253566405 -0.2144941980325
20 WALKING_UPSTAIRS 0.252098317156863 -0.0282258047588235 -0.121023947784314 -0.116088676011765 0.15219632835098 -0.229249455098039
21 WALKING_UPSTAIRS 0.28203528787234 -0.0215929606874468 -0.115627580744681 -0.249505296744681 0.0791822291680851 -0.23932975187234
22 WALKING_UPSTAIRS 0.258076414090476 -0.0230928492085714 -0.1093064584 0.033817280782619 0.192136196785714 -0.14988785172381
23 WALKING_UPSTAIRS 0.261871784627451 -0.0262356841688235 -0.123096065272549 -0.260404932396078 0.00824796909666667 0.0593644535078431
24 WALKING_UPSTAIRS 0.269881106779661 -0.0251979434569492 -0.114248610966102 -0.344399351355932 -0.116804488966102 -0.255601012881356
25 WALKING_UPSTAIRS 0.279323568153846 -0.0243978681823077 -0.122043842446154 -0.475058883384615 -0.240268926769231 -0.305343120769231
26 WALKING_UPSTAIRS 0.274336804363636 -0.0257477231398182 -0.116712117181818 -0.192056517327273 -0.0867631457854545 -0.428008496181818
27 WALKING_UPSTAIRS 0.268549395098039 -0.0179117464078431 -0.120027935745098 -0.324339985686275 -0.125074228052941 -0.255621574176471
28 WALKING_UPSTAIRS 0.271759892745098 -0.0244781779556863 -0.11023357575098 -0.266632960882353 -0.165801160643137 -0.313035784117647
29 WALKING_UPSTAIRS 0.266590332387755 -0.0281309929265306 -0.115172539636735 -0.123397650663265 -0.156220526193878 0.0489931345204082
30 WALKING_UPSTAIRS 0.277458571875 -0.0224343279548437 -0.128875837865625 -0.3579355240625 -0.129680872789062 0.01082623873875
1 WALKING_DOWNSTAIRS 0.282428232857143 -0.0148497666306122 -0.100584855867347 -0.00174659397814286 -0.0430830748571429 -0.223088997653061
2 WALKING_DOWNSTAIRS 0.27761534806383 -0.0226614158361702 -0.116812942382979 0.0463666814446808 0.262881788951064 -0.10283790806383
3 WALKING_DOWNSTAIRS 0.285257122020408 -0.0235108050308163 -0.116160464459184 -0.0670982771020408 -0.0320872251959184 -0.35954072977551
4 WALKING_DOWNSTAIRS 0.279965329555556 -0.00980200850666667 -0.1067775246 0.0111935496222222 -0.21859832499 -0.479185977111111
5 WALKING_DOWNSTAIRS 0.283699840319149 -0.0175029078638298 -0.10113461812766 0.265519947148936 0.103708937295745 -0.331939673191489
6 WALKING_DOWNSTAIRS 0.275920200645833 -0.0229528213339583 -0.108472496625 0.365348228479167 0.36057348021875 -0.320525633124583
7 WALKING_DOWNSTAIRS 0.274690327021277 -0.0189061476382979 -0.105746180331915 0.0579628824382979 -0.141994355904255 -0.0464415153074468
8 WALKING_DOWNSTAIRS 0.275000245526316 -0.0247292062131579 -0.108092939815789 0.00871184966315789 0.348161887315789 0.143143973421053
9 WALKING_DOWNSTAIRS 0.295923445 -0.0203994269075476 -0.0910278793952381 0.213392270547619 -0.208310705504762 -0.00771530035714285
10 WALKING_DOWNSTAIRS 0.290401594315789 -0.0200050770710526 -0.110848597247368 0.295733547631579 0.00407915363157895 -0.183557562032895
11 WALKING_DOWNSTAIRS 0.286176472173913 -0.0228368933936957 -0.113561090826087 0.129669114121739 0.0723513592934783 -0.314701095652174
12 WALKING_DOWNSTAIRS 0.281521097391304 -0.018084266865793 -0.10955593226087 0.0424084916086956 0.11083534373913 -0.425017413478261
13 WALKING_DOWNSTAIRS 0.294907553404255 -0.0143723839108511 -0.101993941531915 -0.0681563626617021 -0.03212524665 -0.158333146191489
14 WALKING_DOWNSTAIRS 0.278283308533333 -0.0228720342102222 -0.09635094102 0.00933535864888889 0.384392029666667 0.468634504222222
15 WALKING_DOWNSTAIRS 0.282023481190476 -0.012014976907381 -0.113597810380952 0.381864268238095 0.184778956761905 -0.288916303571429
16 WALKING_DOWNSTAIRS 0.282079088 -0.0151642588042553 -0.125729931531915 0.183872500780851 -0.147390239782979 0.00677486445744681
17 WALKING_DOWNSTAIRS 0.272101669826087 -0.023136059 -0.103868463734783 0.145535798063043 -0.0733683861297826 -0.240477374008696
18 WALKING_DOWNSTAIRS 0.288439468909091 -0.0168666920221818 -0.1033908092 -0.302634565090909 -0.254214045818182 -0.418610127454545
19 WALKING_DOWNSTAIRS 0.247000138564103 -0.0286947408607949 -0.151050013019949 0.551749908435897 0.490534385102564 0.0250608798205128
20 WALKING_DOWNSTAIRS 0.296144421355556 -0.00964120773155556 -0.104602925937778 0.0745098785288889 0.616937015333333 -0.160938536488889
21 WALKING_DOWNSTAIRS 0.270737981155556 -0.0213812418066667 -0.109233627535556 0.180389162466667 0.283336231866667 -0.0788626813111111
22 WALKING_DOWNSTAIRS 0.26741910525 -0.0243656514464167 -0.118511201633333 0.33048211525 0.245661773138889 -0.306721397336111
23 WALKING_DOWNSTAIRS 0.27831298052963 -0.0234782437090741 -0.108662056275926 0.0185448055462963 0.106693148891852 0.228074085203704
24 WALKING_DOWNSTAIRS 0.288631208909091 -0.0145730348310909 -0.104818820272727 -0.08273248054 -0.102607326783636 -0.205566380745455
25 WALKING_DOWNSTAIRS 0.288637122241379 -0.0241020249884483 -0.10952111612069 -0.263293086327586 -0.143519973698276 -0.454063032931035
26 WALKING_DOWNSTAIRS 0.2771528384 -0.01834992800778 -0.11620945116 0.15898756344 -0.000270466852 -0.2816756418
27 WALKING_DOWNSTAIRS 0.290751122954545 -0.0161749643977273 -0.117793971915909 0.15100069375 -0.0930096927704545 -0.235891983568182
28 WALKING_DOWNSTAIRS 0.280898346304348 -0.0268754221478261 -0.119827756241304 0.112198431052174 0.146028321591304 -0.329363644130435
29 WALKING_DOWNSTAIRS 0.286977167125 -0.0175940524729167 -0.102876804614583 0.1543555520625 -0.117620458277083 -0.200924206129167
30 WALKING_DOWNSTAIRS 0.277562513693548 -0.022413571851129 -0.0986166382483871 -0.0690113683387097 -0.037045356383871 -0.207369540967742
1 SITTING 0.261506623702128 -0.00485101212978723 -0.124229736659574 -0.97204311893617 -0.938302385744681 -0.935692846638298
2 SITTING 0.27708735173913 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.950704499130435 -0.95982817173913
3 SITTING 0.258961351826923 -0.00662234820576923 -0.0998187571153846 -0.970875383653846 -0.877013346538462 -0.884093058076923
4 SITTING 0.27153827992 -0.007163065158 -0.10587459588 -0.980309931 -0.89022398108 -0.9322030066
